ID,Injury_Date,Total_Injuries,OBJECTID
238,2013/10/29 00:00:00,1,237
239,2013/11/10 00:00:00,1,238
240,2013/11/12 00:00:00,1,239
241,2013/11/26 00:00:00,1,240
242,2013/11/27 00:00:00,1,241
243,2013/12/07 00:00:00,1,242
244,2014/01/24 00:00:00,1,243
245,2014/02/04 00:00:00,2,244
246,2014/03/03 00:00:00,1,245
247,2014/03/13 00:00:00,1,246
248,2014/05/01 00:00:00,3,247
249,2014/05/23 00:00:00,2,248
250,2014/07/10 00:00:00,1,249
251,2014/08/16 00:00:00,1,250
252,2014/08/29 00:00:00,1,251
253,2014/09/04 00:00:00,1,252
254,2014/09/12 00:00:00,3,253
255,2014/09/14 00:00:00,1,254
256,2014/09/21 00:00:00,1,255
257,2014/11/02 00:00:00,1,256
258,2014/11/22 00:00:00,1,257
259,2014/11/24 00:00:00,4,258
260,2014/11/25 00:00:00,3,259
261,2015/01/10 00:00:00,1,260
262,2015/01/17 00:00:00,1,261
263,2015/01/28 00:00:00,2,262
264,2015/01/30 00:00:00,1,263
265,2015/02/18 00:00:00,1,264
266,2015/02/20 00:00:00,1,265
267,2015/03/04 00:00:00,1,266
268,2015/04/30 00:00:00,1,267
269,2015/05/29 00:00:00,1,268
270,2015/06/07 00:00:00,1,269
271,2015/06/14 00:00:00,1,270
272,2015/06/18 00:00:00,1,271
273,2015/06/20 00:00:00,1,272
274,2015/06/28 00:00:00,1,273
275,2015/07/02 00:00:00,5,274
276,2015/08/29 00:00:00,1,275
277,2015/09/06 00:00:00,1,276
278,2015/11/20 00:00:00,2,277
279,2015/12/14 00:00:00,2,278
280,2015/12/24 00:00:00,1,279
281,2016/03/16 00:00:00,1,280
282,2016/07/04 00:00:00,1,281
283,2016/07/20 00:00:00,1,282
284,2016/07/30 00:00:00,1,283
285,2016/08/08 00:00:00,1,284
286,2016/08/21 00:00:00,1,285
287,2016/09/13 00:00:00,1,286
288,2016/09/15 00:00:00,1,287
289,2016/09/24 00:00:00,7,288
290,2016/09/29 00:00:00,2,289
291,2016/10/14 00:00:00,1,290
292,2016/10/20 00:00:00,1,291
293,2016/11/12 00:00:00,1,292
294,2016/11/21 00:00:00,1,293
295,2016/11/25 00:00:00,1,294
296,2016/11/28 00:00:00,1,295
297,2016/12/10 00:00:00,1,296
298,2016/12/11 00:00:00,1,297
299,2016/12/14 00:00:00,1,298
300,2016/12/25 00:00:00,1,299
